cat_pais,year,ncat_ronda,dico_debates_eleccion,eng_cat_pais
Chile,2009,0,NA,Chile
Chile,2010,2,1,Chile
Chile,2010,1,1,Chile
Chile,2011,0,NA,Chile
Chile,2012,0,NA,Chile
Chile,2013,2,1,Chile
Chile,2013,1,1,Chile
Chile,2014,0,NA,Chile
Chile,2015,0,NA,Chile
Chile,2016,0,NA,Chile
Chile,2017,2,1,Chile
Chile,2017,1,1,Chile
Chile,2018,0,NA,Chile
Chile,2019,0,NA,Chile
Chile,2020,0,NA,Chile
Chile,2021,2,1,Chile
Chile,2021,1,1,Chile
Chile,2022,0,NA,Chile
Chile,2023,0,NA,Chile
Chile,2024,0,NA,Chile
Argentina,1958,0,NA,Argentina
Argentina,1959,0,NA,Argentina
Argentina,1960,0,NA,Argentina
Argentina,1961,0,NA,Argentina
Argentina,1962,0,NA,Argentina
Argentina,1963,0,NA,Argentina
Argentina,1964,0,NA,Argentina
Argentina,1965,0,NA,Argentina
Argentina,1966,0,NA,Argentina
Argentina,1967,0,NA,Argentina
Argentina,1968,0,NA,Argentina
Argentina,1969,0,NA,Argentina
Argentina,1970,0,NA,Argentina
Argentina,1971,0,NA,Argentina
Argentina,1972,0,NA,Argentina
Argentina,1973,0,NA,Argentina
Argentina,1974,0,NA,Argentina
Argentina,1975,0,NA,Argentina
Argentina,1976,0,NA,Argentina
Argentina,1977,0,NA,Argentina
Argentina,1978,0,NA,Argentina
Argentina,1979,0,NA,Argentina
Argentina,1980,0,NA,Argentina
Argentina,1981,0,NA,Argentina
Argentina,1982,0,NA,Argentina
Argentina,1983,1,0,Argentina
Argentina,1984,0,NA,Argentina
Argentina,1985,0,NA,Argentina
Argentina,1986,0,NA,Argentina
Argentina,1987,0,NA,Argentina
Argentina,1988,0,NA,Argentina
Argentina,1989,1,0,Argentina
Argentina,1990,0,NA,Argentina
Argentina,1991,0,NA,Argentina
Argentina,1992,0,NA,Argentina
Argentina,1993,0,NA,Argentina
Argentina,1994,0,NA,Argentina
Argentina,1995,1,0,Argentina
Argentina,1996,0,NA,Argentina
Argentina,1997,0,NA,Argentina
Argentina,1998,0,NA,Argentina
Argentina,1999,1,0,Argentina
Argentina,2000,0,NA,Argentina
Argentina,2001,0,NA,Argentina
Argentina,2002,0,NA,Argentina
Argentina,2003,1,0,Argentina
Argentina,2004,0,NA,Argentina
Argentina,2005,0,NA,Argentina
Argentina,2006,0,NA,Argentina
Argentina,2007,1,0,Argentina
Argentina,2008,0,NA,Argentina
Argentina,2009,0,NA,Argentina
Argentina,2010,0,NA,Argentina
Argentina,2011,1,0,Argentina
Argentina,2012,0,NA,Argentina
Argentina,2013,0,NA,Argentina
Argentina,2014,0,NA,Argentina
Argentina,2015,2,1,Argentina
Argentina,2015,1,1,Argentina
Argentina,2016,0,NA,Argentina
Argentina,2017,0,NA,Argentina
Argentina,2018,0,NA,Argentina
Argentina,2019,1,1,Argentina
Argentina,2020,0,NA,Argentina
Argentina,2021,0,NA,Argentina
Argentina,2022,0,NA,Argentina
Argentina,2023,2,1,Argentina
Argentina,2023,1,1,Argentina
Argentina,2024,0,NA,Argentina
Peru,1958,0,NA,Peru
Peru,1959,0,NA,Peru
Peru,1960,0,NA,Peru
Peru,1961,0,NA,Peru
Peru,1962,0,NA,Peru
Peru,1963,0,NA,Peru
Peru,1964,0,NA,Peru
Peru,1965,0,NA,Peru
Peru,1966,0,NA,Peru
Peru,1967,0,NA,Peru
Peru,1968,0,NA,Peru
Peru,1969,0,NA,Peru
Peru,1970,0,NA,Peru
Peru,1971,0,NA,Peru
Peru,1972,0,NA,Peru
Peru,1973,0,NA,Peru
Peru,1974,0,NA,Peru
Peru,1975,0,NA,Peru
Peru,1976,0,NA,Peru
Peru,1977,0,NA,Peru
Peru,1978,0,NA,Peru
Peru,1979,0,NA,Peru
Peru,1980,1,0,Peru
Peru,1981,0,NA,Peru
Peru,1982,0,NA,Peru
Peru,1983,0,NA,Peru
Peru,1984,0,NA,Peru
Peru,1985,1,0,Peru
Peru,1986,0,NA,Peru
Peru,1987,0,NA,Peru
Peru,1988,0,NA,Peru
Peru,1989,0,NA,Peru
Peru,1990,2,1,Peru
Peru,1990,1,0,Peru
Peru,1991,0,NA,Peru
Peru,1992,0,NA,Peru
Peru,1993,0,NA,Peru
Peru,1994,0,NA,Peru
Peru,1995,1,0,Peru
Peru,1996,0,NA,Peru
Peru,1997,0,NA,Peru
Peru,1998,0,NA,Peru
Peru,1999,0,NA,Peru
Peru,2000,2,0,Peru
Peru,2000,1,0,Peru
Peru,2001,2,1,Peru
Peru,2001,1,0,Peru
Peru,2002,0,NA,Peru
Peru,2003,0,NA,Peru
Peru,2004,0,NA,Peru
Peru,2005,0,NA,Peru
Peru,2006,2,1,Peru
Peru,2006,1,0,Peru
Peru,2007,0,NA,Peru
Peru,2008,0,NA,Peru
Peru,2009,0,NA,Peru
Peru,2010,0,NA,Peru
Peru,2011,2,1,Peru
Peru,2011,1,1,Peru
Peru,2012,0,NA,Peru
Peru,2013,0,NA,Peru
Peru,2014,0,NA,Peru
Peru,2015,0,NA,Peru
Peru,2016,2,1,Peru
Peru,2016,1,1,Peru
Peru,2017,0,NA,Peru
Peru,2018,0,NA,Peru
Peru,2019,0,NA,Peru
Peru,2020,0,NA,Peru
Peru,2021,2,1,Peru
Peru,2021,1,1,Peru
Peru,2022,0,NA,Peru
Peru,2023,0,NA,Peru
Peru,2024,0,NA,Peru
Paraguay,1958,0,NA,Paraguay
Paraguay,1959,0,NA,Paraguay
Paraguay,1960,0,NA,Paraguay
Paraguay,1961,0,NA,Paraguay
Paraguay,1962,0,NA,Paraguay
Paraguay,1963,0,NA,Paraguay
Paraguay,1964,0,NA,Paraguay
Paraguay,1965,0,NA,Paraguay
Paraguay,1966,0,NA,Paraguay
Paraguay,1967,0,NA,Paraguay
Paraguay,1968,0,NA,Paraguay
Paraguay,1969,0,NA,Paraguay
Paraguay,1970,0,NA,Paraguay
Paraguay,1971,0,NA,Paraguay
Paraguay,1972,0,NA,Paraguay
Paraguay,1973,0,NA,Paraguay
Paraguay,1974,0,NA,Paraguay
Paraguay,1975,0,NA,Paraguay
Paraguay,1976,0,NA,Paraguay
Paraguay,1977,0,NA,Paraguay
Paraguay,1978,0,NA,Paraguay
Paraguay,1979,0,NA,Paraguay
Paraguay,1980,0,NA,Paraguay
Paraguay,1981,0,NA,Paraguay
Paraguay,1982,0,NA,Paraguay
Paraguay,1983,0,NA,Paraguay
Paraguay,1984,0,NA,Paraguay
Paraguay,1985,0,NA,Paraguay
Paraguay,1986,0,NA,Paraguay
Paraguay,1987,0,NA,Paraguay
Paraguay,1988,0,NA,Paraguay
Paraguay,1989,1,0,Paraguay
Paraguay,1990,0,NA,Paraguay
Paraguay,1991,0,NA,Paraguay
Paraguay,1992,0,NA,Paraguay
Paraguay,1993,1,1,Paraguay
Paraguay,1994,0,NA,Paraguay
Paraguay,1995,0,NA,Paraguay
Paraguay,1996,0,NA,Paraguay
Paraguay,1997,0,NA,Paraguay
Paraguay,1998,1,1,Paraguay
Paraguay,1999,0,NA,Paraguay
Paraguay,2000,0,NA,Paraguay
Paraguay,2001,0,NA,Paraguay
Paraguay,2002,0,NA,Paraguay
Paraguay,2003,1,1,Paraguay
Paraguay,2004,0,NA,Paraguay
Paraguay,2005,0,NA,Paraguay
Paraguay,2006,0,NA,Paraguay
Paraguay,2007,0,NA,Paraguay
Paraguay,2008,1,1,Paraguay
Paraguay,2009,0,NA,Paraguay
Paraguay,2010,0,NA,Paraguay
Paraguay,2011,0,NA,Paraguay
Paraguay,2012,0,NA,Paraguay
Paraguay,2013,1,1,Paraguay
Paraguay,2014,0,NA,Paraguay
Paraguay,2015,0,NA,Paraguay
Paraguay,2016,0,NA,Paraguay
Paraguay,2017,0,NA,Paraguay
Paraguay,2018,1,1,Paraguay
Paraguay,2019,0,NA,Paraguay
Paraguay,2020,0,NA,Paraguay
Paraguay,2021,0,NA,Paraguay
Paraguay,2022,0,NA,Paraguay
Paraguay,2023,1,1,Paraguay
Paraguay,2024,0,NA,Paraguay
Ecuador,1958,0,NA,Ecuador
Ecuador,1959,0,NA,Ecuador
Ecuador,1960,1,0,Ecuador
Ecuador,1961,0,NA,Ecuador
Ecuador,1962,0,NA,Ecuador
Ecuador,1963,0,NA,Ecuador
Ecuador,1964,0,NA,Ecuador
Ecuador,1965,0,NA,Ecuador
Ecuador,1966,0,NA,Ecuador
Ecuador,1967,0,NA,Ecuador
Ecuador,1968,1,0,Ecuador
Ecuador,1969,0,NA,Ecuador
Ecuador,1970,0,NA,Ecuador
Ecuador,1971,0,NA,Ecuador
Ecuador,1972,0,NA,Ecuador
Ecuador,1973,0,NA,Ecuador
Ecuador,1974,0,NA,Ecuador
Ecuador,1975,0,NA,Ecuador
Ecuador,1976,0,NA,Ecuador
Ecuador,1977,0,NA,Ecuador
Ecuador,1978,0,NA,Ecuador
Ecuador,1979,2,1,Ecuador
Ecuador,1979,1,1,Ecuador
Ecuador,1980,0,NA,Ecuador
Ecuador,1981,0,NA,Ecuador
Ecuador,1982,0,NA,Ecuador
Ecuador,1983,0,NA,Ecuador
Ecuador,1984,2,1,Ecuador
Ecuador,1984,1,0,Ecuador
Ecuador,1985,0,NA,Ecuador
Ecuador,1986,0,NA,Ecuador
Ecuador,1987,0,NA,Ecuador
Ecuador,1988,2,0,Ecuador
Ecuador,1988,1,0,Ecuador
Ecuador,1989,0,NA,Ecuador
Ecuador,1990,0,NA,Ecuador
Ecuador,1991,0,NA,Ecuador
Ecuador,1992,2,0,Ecuador
Ecuador,1992,1,1,Ecuador
Ecuador,1993,0,NA,Ecuador
Ecuador,1994,0,NA,Ecuador
Ecuador,1995,0,NA,Ecuador
Ecuador,1996,2,0,Ecuador
Ecuador,1996,1,0,Ecuador
Ecuador,1997,0,NA,Ecuador
Ecuador,1998,2,0,Ecuador
Ecuador,1998,1,0,Ecuador
Ecuador,1999,0,NA,Ecuador
Ecuador,2000,0,NA,Ecuador
Ecuador,2001,0,NA,Ecuador
Ecuador,2002,2,0,Ecuador
Ecuador,2002,1,0,Ecuador
Ecuador,2003,0,NA,Ecuador
Ecuador,2004,0,NA,Ecuador
Ecuador,2005,0,NA,Ecuador
Ecuador,2006,2,0,Ecuador
Ecuador,2006,1,1,Ecuador
Ecuador,2007,0,NA,Ecuador
Ecuador,2008,0,NA,Ecuador
Ecuador,2009,1,0,Ecuador
Ecuador,2010,0,NA,Ecuador
Ecuador,2011,0,NA,Ecuador
Ecuador,2012,0,NA,Ecuador
Ecuador,2013,1,1,Ecuador
Ecuador,2014,0,NA,Ecuador
Ecuador,2015,0,NA,Ecuador
Ecuador,2016,0,NA,Ecuador
Ecuador,2017,2,0,Ecuador
Ecuador,2017,1,1,Ecuador
Ecuador,2018,0,NA,Ecuador
Ecuador,2019,0,NA,Ecuador
Ecuador,2020,0,NA,Ecuador
Ecuador,2021,2,1,Ecuador
Ecuador,2021,1,1,Ecuador
Ecuador,2022,0,NA,Ecuador
Ecuador,2023,2,1,Ecuador
Ecuador,2023,1,1,Ecuador
Ecuador,2024,0,NA,Ecuador
Uruguay,1958,0,NA,Uruguay
Uruguay,1959,0,NA,Uruguay
Uruguay,1960,0,NA,Uruguay
Uruguay,1961,0,NA,Uruguay
Uruguay,1962,0,NA,Uruguay
Uruguay,1963,0,NA,Uruguay
Uruguay,1964,0,NA,Uruguay
Uruguay,1965,0,NA,Uruguay
Uruguay,1966,0,NA,Uruguay
Uruguay,1967,0,NA,Uruguay
Uruguay,1968,0,NA,Uruguay
Uruguay,1969,0,NA,Uruguay
Uruguay,1970,0,NA,Uruguay
Uruguay,1971,0,NA,Uruguay
Uruguay,1972,0,NA,Uruguay
Uruguay,1973,0,NA,Uruguay
Uruguay,1974,0,NA,Uruguay
Uruguay,1975,0,NA,Uruguay
Uruguay,1976,0,NA,Uruguay
Uruguay,1977,0,NA,Uruguay
Uruguay,1978,0,NA,Uruguay
Uruguay,1979,0,NA,Uruguay
Uruguay,1980,0,NA,Uruguay
Uruguay,1981,0,NA,Uruguay
Uruguay,1982,0,NA,Uruguay
Uruguay,1983,0,NA,Uruguay
Uruguay,1984,1,1,Uruguay
Uruguay,1985,0,NA,Uruguay
Uruguay,1986,0,NA,Uruguay
Uruguay,1987,0,NA,Uruguay
Uruguay,1988,0,NA,Uruguay
Uruguay,1989,1,1,Uruguay
Uruguay,1990,0,NA,Uruguay
Uruguay,1991,0,NA,Uruguay
Uruguay,1992,0,NA,Uruguay
Uruguay,1993,0,NA,Uruguay
Uruguay,1994,1,1,Uruguay
Uruguay,1995,0,NA,Uruguay
Uruguay,1996,0,NA,Uruguay
Uruguay,1997,0,NA,Uruguay
Uruguay,1998,0,NA,Uruguay
Uruguay,1999,2,0,Uruguay
Uruguay,1999,1,0,Uruguay
Uruguay,2000,0,NA,Uruguay
Uruguay,2001,0,NA,Uruguay
Uruguay,2002,0,NA,Uruguay
Uruguay,2003,0,NA,Uruguay
Uruguay,2004,1,0,Uruguay
Uruguay,2005,0,NA,Uruguay
Uruguay,2006,0,NA,Uruguay
Uruguay,2007,0,NA,Uruguay
Uruguay,2008,0,NA,Uruguay
Uruguay,2009,2,0,Uruguay
Uruguay,2009,1,1,Uruguay
Uruguay,2010,0,NA,Uruguay
Uruguay,2011,0,NA,Uruguay
Uruguay,2012,0,NA,Uruguay
Uruguay,2013,0,NA,Uruguay
Uruguay,2014,2,0,Uruguay
Uruguay,2014,1,1,Uruguay
Uruguay,2015,0,NA,Uruguay
Uruguay,2016,0,NA,Uruguay
Uruguay,2017,0,NA,Uruguay
Uruguay,2018,0,NA,Uruguay
Uruguay,2019,2,1,Uruguay
Uruguay,2019,1,1,Uruguay
Uruguay,2020,0,NA,Uruguay
Uruguay,2021,0,NA,Uruguay
Uruguay,2022,0,NA,Uruguay
Uruguay,2023,0,NA,Uruguay
Uruguay,2024,0,NA,Uruguay
Nicaragua,1958,0,NA,Nicaragua
Nicaragua,1959,0,NA,Nicaragua
Nicaragua,1960,0,NA,Nicaragua
Nicaragua,1961,0,NA,Nicaragua
Nicaragua,1962,0,NA,Nicaragua
Nicaragua,1963,0,NA,Nicaragua
Nicaragua,1964,0,NA,Nicaragua
Nicaragua,1965,0,NA,Nicaragua
Nicaragua,1966,0,NA,Nicaragua
Nicaragua,1967,0,NA,Nicaragua
Nicaragua,1968,0,NA,Nicaragua
Nicaragua,1969,0,NA,Nicaragua
Nicaragua,1970,0,NA,Nicaragua
Nicaragua,1971,0,NA,Nicaragua
Nicaragua,1972,0,NA,Nicaragua
Nicaragua,1973,0,NA,Nicaragua
Nicaragua,1974,0,NA,Nicaragua
Nicaragua,1975,0,NA,Nicaragua
Nicaragua,1976,0,NA,Nicaragua
Nicaragua,1977,0,NA,Nicaragua
Nicaragua,1978,0,NA,Nicaragua
Nicaragua,1979,0,NA,Nicaragua
Nicaragua,1980,0,NA,Nicaragua
Nicaragua,1981,0,NA,Nicaragua
Nicaragua,1982,0,NA,Nicaragua
Nicaragua,1983,0,NA,Nicaragua
Nicaragua,1984,1,0,Nicaragua
Nicaragua,1985,0,NA,Nicaragua
Nicaragua,1986,0,NA,Nicaragua
Nicaragua,1987,0,NA,Nicaragua
Nicaragua,1988,0,NA,Nicaragua
Nicaragua,1989,0,NA,Nicaragua
Nicaragua,1990,1,1,Nicaragua
Nicaragua,1991,0,NA,Nicaragua
Nicaragua,1992,0,NA,Nicaragua
Nicaragua,1993,0,NA,Nicaragua
Nicaragua,1994,0,NA,Nicaragua
Nicaragua,1995,0,NA,Nicaragua
Nicaragua,1996,1,0,Nicaragua
Nicaragua,1997,0,NA,Nicaragua
Nicaragua,1998,0,NA,Nicaragua
Nicaragua,1999,0,NA,Nicaragua
Nicaragua,2000,0,NA,Nicaragua
Nicaragua,2001,1,0,Nicaragua
Nicaragua,2002,0,NA,Nicaragua
Nicaragua,2003,0,NA,Nicaragua
Nicaragua,2004,0,NA,Nicaragua
Nicaragua,2005,0,NA,Nicaragua
Nicaragua,2006,1,1,Nicaragua
Nicaragua,2007,0,NA,Nicaragua
Nicaragua,2008,0,NA,Nicaragua
Nicaragua,2009,0,NA,Nicaragua
Nicaragua,2010,0,NA,Nicaragua
Nicaragua,2011,1,0,Nicaragua
Nicaragua,2012,0,NA,Nicaragua
Nicaragua,2013,0,NA,Nicaragua
Nicaragua,2014,0,NA,Nicaragua
Nicaragua,2015,0,NA,Nicaragua
Nicaragua,2016,1,0,Nicaragua
Nicaragua,2017,0,NA,Nicaragua
Nicaragua,2018,0,NA,Nicaragua
Nicaragua,2019,0,NA,Nicaragua
Nicaragua,2020,0,NA,Nicaragua
Nicaragua,2021,0,NA,Nicaragua
Nicaragua,2022,0,NA,Nicaragua
Nicaragua,2023,0,NA,Nicaragua
Nicaragua,2024,0,NA,Nicaragua
Panama,1958,0,NA,Panama
Panama,1959,0,NA,Panama
Panama,1960,0,NA,Panama
Panama,1961,0,NA,Panama
Panama,1962,0,NA,Panama
Panama,1963,0,NA,Panama
Panama,1964,0,NA,Panama
Panama,1965,0,NA,Panama
Panama,1966,0,NA,Panama
Panama,1967,0,NA,Panama
Panama,1968,0,NA,Panama
Panama,1969,0,NA,Panama
Panama,1970,0,NA,Panama
Panama,1971,0,NA,Panama
Panama,1972,0,NA,Panama
Panama,1973,0,NA,Panama
Panama,1974,0,NA,Panama
Panama,1975,0,NA,Panama
Panama,1976,0,NA,Panama
Panama,1977,0,NA,Panama
Panama,1978,0,NA,Panama
Panama,1979,0,NA,Panama
Panama,1980,0,NA,Panama
Panama,1981,0,NA,Panama
Panama,1982,0,NA,Panama
Panama,1983,0,NA,Panama
Panama,1984,0,NA,Panama
Panama,1985,0,NA,Panama
Panama,1986,0,NA,Panama
Panama,1987,0,NA,Panama
Panama,1988,0,NA,Panama
Panama,1989,0,NA,Panama
Panama,1990,0,NA,Panama
Panama,1991,0,NA,Panama
Panama,1992,0,NA,Panama
Panama,1993,0,NA,Panama
Panama,1994,1,1,Panama
Panama,1995,0,NA,Panama
Panama,1996,0,NA,Panama
Panama,1997,0,NA,Panama
Panama,1998,0,NA,Panama
Panama,1999,1,0,Panama
Panama,2000,0,NA,Panama
Panama,2001,0,NA,Panama
Panama,2002,0,NA,Panama
Panama,2003,0,NA,Panama
Panama,2004,1,1,Panama
Panama,2005,0,NA,Panama
Panama,2006,0,NA,Panama
Panama,2007,0,NA,Panama
Panama,2008,0,NA,Panama
Panama,2009,1,1,Panama
Panama,2010,0,NA,Panama
Panama,2011,0,NA,Panama
Panama,2012,0,NA,Panama
Panama,2013,0,NA,Panama
Panama,2014,1,1,Panama
Panama,2015,0,NA,Panama
Panama,2016,0,NA,Panama
Panama,2017,0,NA,Panama
Panama,2018,0,NA,Panama
Panama,2019,1,1,Panama
Panama,2020,0,NA,Panama
Panama,2021,0,NA,Panama
Panama,2022,0,NA,Panama
Panama,2023,0,NA,Panama
Panama,2024,0,NA,Panama
Venezuela,1958,1,0,Venezuela
Venezuela,1959,0,NA,Venezuela
Venezuela,1960,0,NA,Venezuela
Venezuela,1961,0,NA,Venezuela
Venezuela,1962,0,NA,Venezuela
Venezuela,1963,1,1,Venezuela
Venezuela,1964,0,NA,Venezuela
Venezuela,1965,0,NA,Venezuela
Venezuela,1966,0,NA,Venezuela
Venezuela,1967,0,NA,Venezuela
Venezuela,1968,1,1,Venezuela
Venezuela,1969,0,NA,Venezuela
Venezuela,1970,0,NA,Venezuela
Venezuela,1971,0,NA,Venezuela
Venezuela,1972,0,NA,Venezuela
Venezuela,1973,1,0,Venezuela
Venezuela,1974,0,NA,Venezuela
Venezuela,1975,0,NA,Venezuela
Venezuela,1976,0,NA,Venezuela
Venezuela,1977,0,NA,Venezuela
Venezuela,1978,1,0,Venezuela
Venezuela,1979,0,NA,Venezuela
Venezuela,1980,0,NA,Venezuela
Venezuela,1981,0,NA,Venezuela
Venezuela,1982,0,NA,Venezuela
Venezuela,1983,1,1,Venezuela
Venezuela,1984,0,NA,Venezuela
Venezuela,1985,0,NA,Venezuela
Venezuela,1986,0,NA,Venezuela
Venezuela,1987,0,NA,Venezuela
Venezuela,1988,1,0,Venezuela
Venezuela,1989,0,NA,Venezuela
Venezuela,1990,0,NA,Venezuela
Venezuela,1991,0,NA,Venezuela
Venezuela,1992,0,NA,Venezuela
Venezuela,1993,1,0,Venezuela
Venezuela,1994,0,NA,Venezuela
Venezuela,1995,0,NA,Venezuela
Venezuela,1996,0,NA,Venezuela
Venezuela,1997,0,NA,Venezuela
Venezuela,1998,1,1,Venezuela
Venezuela,1999,0,NA,Venezuela
Venezuela,2000,1,0,Venezuela
Venezuela,2001,0,NA,Venezuela
Venezuela,2002,0,NA,Venezuela
Venezuela,2003,0,NA,Venezuela
Venezuela,2004,0,NA,Venezuela
Venezuela,2005,0,NA,Venezuela
Venezuela,2006,1,0,Venezuela
Venezuela,2007,0,NA,Venezuela
Venezuela,2008,0,NA,Venezuela
Venezuela,2009,0,NA,Venezuela
Venezuela,2010,0,NA,Venezuela
Venezuela,2011,0,NA,Venezuela
Venezuela,2012,1,0,Venezuela
Venezuela,2013,1,0,Venezuela
Venezuela,2014,0,NA,Venezuela
Venezuela,2015,0,NA,Venezuela
Venezuela,2016,0,NA,Venezuela
Venezuela,2017,0,NA,Venezuela
Venezuela,2018,1,0,Venezuela
Venezuela,2019,0,NA,Venezuela
Venezuela,2020,0,NA,Venezuela
Venezuela,2021,0,NA,Venezuela
Venezuela,2022,0,NA,Venezuela
Venezuela,2023,0,NA,Venezuela
Venezuela,2024,0,NA,Venezuela
Bolivia,1958,0,NA,Bolivia
Bolivia,1959,0,NA,Bolivia
Bolivia,1960,0,NA,Bolivia
Bolivia,1961,0,NA,Bolivia
Bolivia,1962,0,NA,Bolivia
Bolivia,1963,0,NA,Bolivia
Bolivia,1964,0,NA,Bolivia
Bolivia,1965,0,NA,Bolivia
Bolivia,1966,0,NA,Bolivia
Bolivia,1967,0,NA,Bolivia
Bolivia,1968,0,NA,Bolivia
Bolivia,1969,0,NA,Bolivia
Bolivia,1970,0,NA,Bolivia
Bolivia,1971,0,NA,Bolivia
Bolivia,1972,0,NA,Bolivia
Bolivia,1973,0,NA,Bolivia
Bolivia,1974,0,NA,Bolivia
Bolivia,1975,0,NA,Bolivia
Bolivia,1976,0,NA,Bolivia
Bolivia,1977,0,NA,Bolivia
Bolivia,1978,1,0,Bolivia
Bolivia,1979,1,0,Bolivia
Bolivia,1980,1,0,Bolivia
Bolivia,1981,0,NA,Bolivia
Bolivia,1982,0,NA,Bolivia
Bolivia,1983,0,NA,Bolivia
Bolivia,1984,0,NA,Bolivia
Bolivia,1985,1,0,Bolivia
Bolivia,1986,0,NA,Bolivia
Bolivia,1987,0,NA,Bolivia
Bolivia,1988,0,NA,Bolivia
Bolivia,1989,1,1,Bolivia
Bolivia,1990,0,NA,Bolivia
Bolivia,1991,0,NA,Bolivia
Bolivia,1992,0,NA,Bolivia
Bolivia,1993,1,1,Bolivia
Bolivia,1994,0,NA,Bolivia
Bolivia,1995,0,NA,Bolivia
Bolivia,1996,0,NA,Bolivia
Bolivia,1997,1,1,Bolivia
Bolivia,1998,0,NA,Bolivia
Bolivia,1999,0,NA,Bolivia
Bolivia,2000,0,NA,Bolivia
Bolivia,2001,0,NA,Bolivia
Bolivia,2002,1,1,Bolivia
Bolivia,2003,0,NA,Bolivia
